budget,peak_reward,peak_p_hard,peak_queries,work_reward,work_p_hard,work_queries
0.0,0.65,0.0,0.0,0.65,0.0,0.0
0.1,0.65,0.0,0.0,0.6513095073699952,0.005,19.0
0.2,0.65,0.0,0.0,0.6526190147399902,0.01,19.0
0.30000000000000004,0.65,0.0,0.0,0.6539285221099853,0.015,19.0
0.4,0.65,0.0,0.0,0.65525,0.015,21.0
0.5,0.65,0.0,0.0,0.657,0.02,21.0
0.6000000000000001,0.65,0.0,0.0,0.6587500000000001,0.025,21.0
0.7000000000000001,0.65,0.0,0.0,0.6605,0.03,21.0
0.8,0.65,0.0,0.0,0.66225,0.035,21.0
0.9,0.65,0.0,0.0,0.664,0.04,21.0
1.0,0.65,0.0,0.0,0.6657500000000001,0.045,21.0
1.1,0.65,0.0,0.0,0.6675,0.05,21.0
1.2000000000000002,0.65,0.0,0.0,0.66925,0.055,21.0
1.3,0.65,0.0,0.0,0.671,0.06,21.0
1.4000000000000001,0.65,0.0,0.0,0.67275,0.065,21.0
1.5,0.65,0.0,0.0,0.6744999999999999,0.07,21.0
1.6,0.65,0.0,0.0,0.67625,0.075,21.0
1.7000000000000002,0.65,0.0,0.0,0.678,0.08,21.0
1.8,0.65,0.0,0.0,0.67975,0.085,21.0
1.9000000000000001,0.65,0.0,0.0,0.6815,0.09,21.0
2.0,0.65,0.0,0.0,0.68325,0.095,21.0
2.1,0.65,0.0,0.0,0.685,0.1,21.0
2.2,0.65,0.0,0.0,0.685,0.1,21.0
2.3000000000000003,0.65,0.0,0.0,0.68675,0.105,21.0
2.4000000000000004,0.65,0.0,0.0,0.6885,0.11,21.0
2.5,0.65,0.0,0.0,0.69025,0.115,21.0
2.6,0.65,0.0,0.0,0.6920000000000001,0.12,21.0
2.7,0.65,0.0,0.0,0.69375,0.125,21.0
2.8000000000000003,0.65,0.0,0.0,0.6955,0.13,21.0
2.9000000000000004,0.65,0.0,0.0,0.69725,0.135,21.0
3.0,0.65,0.0,0.0,0.6990000000000001,0.14,21.0
3.1,0.65,0.0,0.0,0.70075,0.145,21.0
3.2,0.65,0.0,0.0,0.7025,0.15,21.0
3.3000000000000003,0.65,0.0,0.0,0.70425,0.155,21.0
3.4000000000000004,0.65,0.0,0.0,0.7060000000000001,0.16,21.0
3.5,0.65,0.0,0.0,0.70775,0.165,21.0
3.6,0.65,0.0,0.0,0.7095,0.17,21.0
3.7,0.65,0.0,0.0,0.7112499999999999,0.175,21.0
3.8000000000000003,0.65,0.0,0.0,0.7130000000000001,0.18,21.0
3.9000000000000004,0.65,0.0,0.0,0.71475,0.185,21.0
4.0,0.65,0.0,0.0,0.7165000000000001,0.19,21.0
4.1000000000000005,0.65,0.0,0.0,0.71825,0.195,21.0
4.2,0.65,0.0,0.0,0.72,0.2,21.0
4.3,0.65,0.0,0.0,0.72,0.2,21.0
4.4,0.65,0.0,0.0,0.72175,0.205,21.0
4.5,0.65,0.0,0.0,0.7235,0.21,21.0
4.6000000000000005,0.65,0.0,0.0,0.7252500000000001,0.215,21.0
4.7,0.65,0.0,0.0,0.727,0.22,21.0
4.800000000000001,0.65,0.0,0.0,0.72875,0.225,21.0
4.9,0.65,0.0,0.0,0.7305,0.23,21.0
5.0,0.6712875366210938,1.0,5.0,0.7322500000000001,0.235,21.0
5.1000000000000005,0.6712875366210938,1.0,5.0,0.734,0.24,21.0
5.2,0.6712875366210938,1.0,5.0,0.73575,0.245,21.0
5.300000000000001,0.6712875366210938,1.0,5.0,0.7375,0.25,21.0
5.4,0.6712875366210938,1.0,5.0,0.73925,0.255,21.0
5.5,0.6712875366210938,1.0,5.0,0.741,0.26,21.0
5.6000000000000005,0.6712875366210938,1.0,5.0,0.74275,0.265,21.0
5.7,0.6712875366210938,1.0,5.0,0.7444999999999999,0.27,21.0
5.800000000000001,0.6712875366210938,1.0,5.0,0.7462500000000001,0.275,21.0
5.9,0.6712875366210938,1.0,5.0,0.748,0.28,21.0
6.0,0.6712875366210938,1.0,5.0,0.74975,0.285,21.0
6.1000000000000005,0.6712875366210938,1.0,5.0,0.7515,0.29,21.0
6.2,0.6712875366210938,1.0,5.0,0.75325,0.295,21.0
6.300000000000001,0.6712875366210938,1.0,5.0,0.7549999999999999,0.3,21.0
6.4,0.6712875366210938,1.0,5.0,0.7549999999999999,0.3,21.0
6.5,0.6712875366210938,1.0,5.0,0.75675,0.305,21.0
6.6000000000000005,0.6712875366210938,1.0,5.0,0.7585,0.31,21.0
6.7,0.6712875366210938,1.0,5.0,0.7602500000000001,0.315,21.0
6.800000000000001,0.6712875366210938,1.0,5.0,0.762,0.32,21.0
6.9,0.6712875366210938,1.0,5.0,0.76375,0.325,21.0
7.0,0.7040176391601562,1.0,7.0,0.7655,0.33,21.0
7.1000000000000005,0.7040176391601562,1.0,7.0,0.76725,0.335,21.0
7.2,0.7040176391601562,1.0,7.0,0.7689999999999999,0.34,21.0
7.300000000000001,0.7040176391601562,1.0,7.0,0.77075,0.345,21.0
7.4,0.7040176391601562,1.0,7.0,0.7725,0.35,21.0
7.5,0.7040176391601562,1.0,7.0,0.77425,0.355,21.0
7.6000000000000005,0.7040176391601562,1.0,7.0,0.776,0.36,21.0
7.7,0.7040176391601562,1.0,7.0,0.7777499999999999,0.365,21.0
7.800000000000001,0.7040176391601562,1.0,7.0,0.7795000000000001,0.37,21.0
7.9,0.7040176391601562,1.0,7.0,0.78125,0.375,21.0
8.0,0.7040176391601562,1.0,7.0,0.783,0.38,21.0
8.1,0.7040176391601562,1.0,7.0,0.7847500000000001,0.385,21.0
8.200000000000001,0.7040176391601562,1.0,7.0,0.7865,0.39,21.0
8.3,0.7040176391601562,1.0,7.0,0.78825,0.395,21.0
8.4,0.7040176391601562,1.0,7.0,0.79,0.4,21.0
8.5,0.7040176391601562,1.0,7.0,0.79,0.4,21.0
8.6,0.7040176391601562,1.0,7.0,0.79175,0.405,21.0
8.700000000000001,0.7040176391601562,1.0,7.0,0.7935000000000001,0.41,21.0
8.8,0.7040176391601562,1.0,7.0,0.79525,0.415,21.0
8.9,0.7040176391601562,1.0,7.0,0.797,0.42,21.0
9.0,0.7348594665527344,1.0,9.0,0.79875,0.425,21.0
9.1,0.7348594665527344,1.0,9.0,0.8005,0.43,21.0
9.200000000000001,0.7348594665527344,1.0,9.0,0.8022499999999999,0.435,21.0
9.3,0.7348594665527344,1.0,9.0,0.804,0.44,21.0
9.4,0.7348594665527344,1.0,9.0,0.80575,0.445,21.0
9.5,0.7348594665527344,1.0,9.0,0.8075000000000001,0.45,21.0
9.600000000000001,0.7348594665527344,1.0,9.0,0.80925,0.455,21.0
9.700000000000001,0.7348594665527344,1.0,9.0,0.811,0.46,21.0
9.8,0.7348594665527344,1.0,9.0,0.81275,0.465,21.0
9.9,0.7348594665527344,1.0,9.0,0.8145,0.47,21.0
10.0,0.7348594665527344,1.0,9.0,0.81625,0.475,21.0
10.100000000000001,0.7348594665527344,1.0,9.0,0.8180000000000001,0.48,21.0
10.200000000000001,0.7348594665527344,1.0,9.0,0.81975,0.485,21.0
10.3,0.7348594665527344,1.0,9.0,0.8215,0.49,21.0
10.4,0.7348594665527344,1.0,9.0,0.82325,0.495,21.0
10.5,0.7348594665527344,1.0,9.0,0.825,0.5,21.0
10.600000000000001,0.7348594665527344,1.0,9.0,0.825,0.5,21.0
10.700000000000001,0.7348594665527344,1.0,9.0,0.82675,0.505,21.0
10.8,0.7348594665527344,1.0,9.0,0.8285,0.51,21.0
10.9,0.7348594665527344,1.0,9.0,0.8302499999999999,0.515,21.0
11.0,0.7651405334472656,1.0,11.0,0.8320000000000001,0.52,21.0
11.100000000000001,0.7651405334472656,1.0,11.0,0.83375,0.525,21.0
11.200000000000001,0.7651405334472656,1.0,11.0,0.8355,0.53,21.0
11.3,0.7651405334472656,1.0,11.0,0.83725,0.535,21.0
11.4,0.7651405334472656,1.0,11.0,0.839,0.54,21.0
11.5,0.7651405334472656,1.0,11.0,0.84075,0.545,21.0
11.600000000000001,0.7651405334472656,1.0,11.0,0.8425,0.55,21.0
11.700000000000001,0.7651405334472656,1.0,11.0,0.84425,0.555,21.0
11.8,0.7651405334472656,1.0,11.0,0.8460000000000001,0.56,21.0
11.9,0.7651405334472656,1.0,11.0,0.84775,0.565,21.0
12.0,0.7651405334472656,1.0,11.0,0.8494999999999999,0.57,21.0
12.100000000000001,0.7651405334472656,1.0,11.0,0.8512500000000001,0.575,21.0
12.200000000000001,0.7651405334472656,1.0,11.0,0.853,0.58,21.0
12.3,0.7651405334472656,1.0,11.0,0.85475,0.585,21.0
12.4,0.7651405334472656,1.0,11.0,0.8565,0.59,21.0
12.5,0.7651405334472656,1.0,11.0,0.85825,0.595,21.0
12.600000000000001,0.7651405334472656,1.0,11.0,0.86,0.6,21.0
12.700000000000001,0.7651405334472656,1.0,11.0,0.86,0.6,21.0
12.8,0.7651405334472656,1.0,11.0,0.86175,0.605,21.0
12.9,0.7651405334472656,1.0,11.0,0.8634999999999999,0.61,21.0
13.0,0.7959823608398438,1.0,13.0,0.8652500000000001,0.615,21.0
13.100000000000001,0.7959823608398438,1.0,13.0,0.867,0.62,21.0
13.200000000000001,0.7959823608398438,1.0,13.0,0.86875,0.625,21.0
13.3,0.7959823608398438,1.0,13.0,0.8705,0.63,21.0
13.4,0.7959823608398438,1.0,13.0,0.87225,0.635,21.0
13.5,0.7959823608398438,1.0,13.0,0.874,0.64,21.0
13.600000000000001,0.7959823608398438,1.0,13.0,0.87575,0.645,21.0
13.700000000000001,0.7959823608398438,1.0,13.0,0.8775,0.65,21.0
13.8,0.7959823608398438,1.0,13.0,0.87925,0.655,21.0
13.9,0.7959823608398438,1.0,13.0,0.881,0.66,21.0
14.0,0.7959823608398438,1.0,13.0,0.88275,0.665,21.0
14.100000000000001,0.7959823608398438,1.0,13.0,0.8845000000000001,0.67,21.0
14.200000000000001,0.7959823608398438,1.0,13.0,0.88625,0.675,21.0
14.3,0.7959823608398438,1.0,13.0,0.888,0.68,21.0
14.4,0.7959823608398438,1.0,13.0,0.88975,0.685,21.0
14.5,0.7959823608398438,1.0,13.0,0.8915,0.69,21.0
14.600000000000001,0.7959823608398438,1.0,13.0,0.89325,0.695,21.0
14.700000000000001,0.7959823608398438,1.0,13.0,0.895,0.7,21.0
14.8,0.7959823608398438,1.0,13.0,0.895,0.7,21.0
14.9,0.7959823608398438,1.0,13.0,0.8967499999999999,0.705,21.0
15.0,0.8287124633789062,1.0,15.0,0.8985,0.71,21.0
15.100000000000001,0.8287124633789062,1.0,15.0,0.90025,0.715,21.0
15.200000000000001,0.8287124633789062,1.0,15.0,0.902,0.72,21.0
15.3,0.8287124633789062,1.0,15.0,0.90375,0.725,21.0
15.4,0.8287124633789062,1.0,15.0,0.9055,0.73,21.0
15.5,0.8287124633789062,1.0,15.0,0.90725,0.735,21.0
15.600000000000001,0.8287124633789062,1.0,15.0,0.909,0.74,21.0
15.700000000000001,0.8287124633789062,1.0,15.0,0.91075,0.745,21.0
15.8,0.8287124633789062,1.0,15.0,0.9125,0.75,21.0
15.9,0.8287124633789062,1.0,15.0,0.91425,0.755,21.0
16.0,0.8287124633789062,1.0,15.0,0.916,0.76,21.0
16.1,0.8287124633789062,1.0,15.0,0.9177500000000001,0.765,21.0
16.2,0.8287124633789062,1.0,15.0,0.9195,0.77,21.0
16.3,0.8287124633789062,1.0,15.0,0.92125,0.775,21.0
16.400000000000002,0.8287124633789062,1.0,15.0,0.923,0.78,21.0
16.5,0.8287124633789062,1.0,15.0,0.92475,0.785,21.0
16.6,0.8287124633789062,1.0,15.0,0.9265,0.79,21.0
