theta,budget,reward,queries
0.1,0.0,0.9500000000000001,0.0
0.1,0.1,0.9588098526000977,1.0
0.1,0.2,0.9588098526000977,1.0
0.1,0.30000000000000004,0.9634466171264648,3.0
0.1,0.4,0.9634466171264648,3.0
0.1,0.5,0.9671287536621094,5.0
0.1,0.6000000000000001,0.9671287536621094,5.0
0.1,0.7000000000000001,0.9704017639160156,7.0
0.1,0.8,0.9704017639160156,7.0
0.1,0.9,0.9734859466552734,9.0
0.1,1.0,0.9734859466552734,9.0
0.1,1.1,0.9765140533447266,11.0
0.1,1.2000000000000002,0.9765140533447266,11.0
0.1,1.3,0.9795982360839844,13.0
0.1,1.4000000000000001,0.9795982360839844,13.0
0.1,1.5,0.9828712463378907,15.0
0.1,1.6,0.9828712463378907,15.0
0.1,1.7000000000000002,0.9865533828735352,17.0
0.1,1.8,0.9865533828735352,17.0
0.1,1.9000000000000001,0.9911901473999024,19.0
0.1,2.0,0.9911901473999024,19.0
0.1,2.1,1.0,21.0
0.1,2.2,1.0,21.0
0.1,2.3000000000000003,1.0,21.0
0.1,2.4000000000000004,1.0,21.0
0.1,2.5,1.0,21.0
0.1,2.6,1.0,21.0
0.1,2.7,1.0,21.0
0.1,2.8000000000000003,1.0,21.0
0.1,2.9000000000000004,1.0,21.0
0.1,3.0,1.0,21.0
0.1,3.1,1.0,21.0
0.1,3.2,1.0,21.0
0.1,3.3000000000000003,1.0,21.0
0.1,3.4000000000000004,1.0,21.0
0.1,3.5,1.0,21.0
0.1,3.6,1.0,21.0
0.1,3.7,1.0,21.0
0.1,3.8000000000000003,1.0,21.0
0.1,3.9000000000000004,1.0,21.0
0.1,4.0,1.0,21.0
0.1,4.1000000000000005,1.0,21.0
0.1,4.2,1.0,21.0
0.1,4.3,1.0,21.0
0.1,4.4,1.0,21.0
0.1,4.5,1.0,21.0
0.1,4.6000000000000005,1.0,21.0
0.1,4.7,1.0,21.0
0.1,4.800000000000001,1.0,21.0
0.1,4.9,1.0,21.0
0.1,5.0,1.0,21.0
0.1,5.1000000000000005,1.0,21.0
0.1,5.2,1.0,21.0
0.1,5.300000000000001,1.0,21.0
0.1,5.4,1.0,21.0
0.1,5.5,1.0,21.0
0.1,5.6000000000000005,1.0,21.0
0.1,5.7,1.0,21.0
0.1,5.800000000000001,1.0,21.0
0.1,5.9,1.0,21.0
0.1,6.0,1.0,21.0
0.1,6.1000000000000005,1.0,21.0
0.1,6.2,1.0,21.0
0.1,6.300000000000001,1.0,21.0
0.1,6.4,1.0,21.0
0.1,6.5,1.0,21.0
0.1,6.6000000000000005,1.0,21.0
0.1,6.7,1.0,21.0
0.1,6.800000000000001,1.0,21.0
0.1,6.9,1.0,21.0
0.1,7.0,1.0,21.0
0.1,7.1000000000000005,1.0,21.0
0.1,7.2,1.0,21.0
0.1,7.300000000000001,1.0,21.0
0.1,7.4,1.0,21.0
0.1,7.5,1.0,21.0
0.1,7.6000000000000005,1.0,21.0
0.1,7.7,1.0,21.0
0.1,7.800000000000001,1.0,21.0
0.1,7.9,1.0,21.0
0.1,8.0,1.0,21.0
0.1,8.1,1.0,21.0
0.1,8.200000000000001,1.0,21.0
0.1,8.3,1.0,21.0
0.1,8.4,1.0,21.0
0.1,8.5,1.0,21.0
0.1,8.6,1.0,21.0
0.1,8.700000000000001,1.0,21.0
0.1,8.8,1.0,21.0
0.1,8.9,1.0,21.0
0.1,9.0,1.0,21.0
0.1,9.1,1.0,21.0
0.1,9.200000000000001,1.0,21.0
0.1,9.3,1.0,21.0
0.1,9.4,1.0,21.0
0.1,9.5,1.0,21.0
0.1,9.600000000000001,1.0,21.0
0.1,9.700000000000001,1.0,21.0
0.1,9.8,1.0,21.0
0.1,9.9,1.0,21.0
0.1,10.0,1.0,21.0
0.1,10.100000000000001,1.0,21.0
0.1,10.200000000000001,1.0,21.0
0.1,10.3,1.0,21.0
0.1,10.4,1.0,21.0
0.1,10.5,1.0,21.0
0.1,10.600000000000001,1.0,21.0
0.1,10.700000000000001,1.0,21.0
0.1,10.8,1.0,21.0
0.1,10.9,1.0,21.0
0.1,11.0,1.0,21.0
0.1,11.100000000000001,1.0,21.0
0.1,11.200000000000001,1.0,21.0
0.1,11.3,1.0,21.0
0.1,11.4,1.0,21.0
0.1,11.5,1.0,21.0
0.1,11.600000000000001,1.0,21.0
0.1,11.700000000000001,1.0,21.0
0.1,11.8,1.0,21.0
0.1,11.9,1.0,21.0
0.1,12.0,1.0,21.0
0.1,12.100000000000001,1.0,21.0
0.1,12.200000000000001,1.0,21.0
0.1,12.3,1.0,21.0
0.1,12.4,1.0,21.0
0.1,12.5,1.0,21.0
0.1,12.600000000000001,1.0,21.0
0.1,12.700000000000001,1.0,21.0
0.1,12.8,1.0,21.0
0.1,12.9,1.0,21.0
0.1,13.0,1.0,21.0
0.1,13.100000000000001,1.0,21.0
0.1,13.200000000000001,1.0,21.0
0.1,13.3,1.0,21.0
0.1,13.4,1.0,21.0
0.1,13.5,1.0,21.0
0.1,13.600000000000001,1.0,21.0
0.1,13.700000000000001,1.0,21.0
0.1,13.8,1.0,21.0
0.1,13.9,1.0,21.0
0.1,14.0,1.0,21.0
0.1,14.100000000000001,1.0,21.0
0.1,14.200000000000001,1.0,21.0
0.1,14.3,1.0,21.0
0.1,14.4,1.0,21.0
0.1,14.5,1.0,21.0
0.1,14.600000000000001,1.0,21.0
0.1,14.700000000000001,1.0,21.0
0.1,14.8,1.0,21.0
0.1,14.9,1.0,21.0
0.1,15.0,1.0,21.0
0.1,15.100000000000001,1.0,21.0
0.1,15.200000000000001,1.0,21.0
0.1,15.3,1.0,21.0
0.1,15.4,1.0,21.0
0.1,15.5,1.0,21.0
0.1,15.600000000000001,1.0,21.0
0.1,15.700000000000001,1.0,21.0
0.1,15.8,1.0,21.0
0.1,15.9,1.0,21.0
0.1,16.0,1.0,21.0
0.1,16.1,1.0,21.0
0.1,16.2,1.0,21.0
0.1,16.3,1.0,21.0
0.1,16.400000000000002,1.0,21.0
0.1,16.5,1.0,21.0
0.1,16.6,1.0,21.0
0.1,16.7,1.0,21.0
0.1,16.8,1.0,21.0
0.1,16.900000000000002,1.0,21.0
0.1,17.0,1.0,21.0
0.1,17.1,1.0,21.0
0.1,17.2,1.0,21.0
0.1,17.3,1.0,21.0
0.1,17.400000000000002,1.0,21.0
0.1,17.5,1.0,21.0
0.1,17.6,1.0,21.0
0.1,17.7,1.0,21.0
0.1,17.8,1.0,21.0
0.1,17.900000000000002,1.0,21.0
0.1,18.0,1.0,21.0
0.1,18.1,1.0,21.0
0.1,18.2,1.0,21.0
0.1,18.3,1.0,21.0
0.1,18.400000000000002,1.0,21.0
0.1,18.5,1.0,21.0
0.1,18.6,1.0,21.0
0.1,18.7,1.0,21.0
0.1,18.8,1.0,21.0
0.1,18.900000000000002,1.0,21.0
0.1,19.0,1.0,21.0
0.1,19.1,1.0,21.0
0.1,19.200000000000003,1.0,21.0
0.1,19.3,1.0,21.0
0.1,19.400000000000002,1.0,21.0
0.1,19.5,1.0,21.0
0.1,19.6,1.0,21.0
0.1,19.700000000000003,1.0,21.0
0.1,19.8,1.0,21.0
0.1,19.900000000000002,1.0,21.0
0.1,20.0,1.0,21.0
0.1,20.1,1.0,21.0
0.1,20.200000000000003,1.0,21.0
0.1,20.3,1.0,21.0
0.1,20.400000000000002,1.0,21.0
0.1,20.5,1.0,21.0
0.1,20.6,1.0,21.0
0.1,20.700000000000003,1.0,21.0
0.1,20.8,1.0,21.0
0.1,20.900000000000002,1.0,21.0
0.1,21.0,1.0,21.0
0.5,0.0,0.75,0.0
0.5,0.1,0.75,0.0
0.5,0.2,0.75,0.0
0.5,0.30000000000000004,0.75,0.0
0.5,0.4,0.75,0.0
0.5,0.5,0.7940492630004883,1.0
0.5,0.6000000000000001,0.7940492630004883,1.0
0.5,0.7000000000000001,0.7940492630004883,1.0
0.5,0.8,0.7940492630004883,1.0
0.5,0.9,0.7940492630004883,1.0
0.5,1.0,0.7940492630004883,1.0
0.5,1.1,0.7940492630004883,1.0
0.5,1.2000000000000002,0.7940492630004883,1.0
0.5,1.3,0.7940492630004883,1.0
0.5,1.4000000000000001,0.7940492630004883,1.0
0.5,1.5,0.8172330856323242,3.0
0.5,1.6,0.8172330856323242,3.0
0.5,1.7000000000000002,0.8172330856323242,3.0
0.5,1.8,0.8172330856323242,3.0
0.5,1.9000000000000001,0.8172330856323242,3.0
0.5,2.0,0.8172330856323242,3.0
0.5,2.1,0.8172330856323242,3.0
0.5,2.2,0.8172330856323242,3.0
0.5,2.3000000000000003,0.8172330856323242,3.0
0.5,2.4000000000000004,0.8172330856323242,3.0
0.5,2.5,0.8356437683105469,5.0
0.5,2.6,0.8356437683105469,5.0
0.5,2.7,0.8356437683105469,5.0
0.5,2.8000000000000003,0.8356437683105469,5.0
0.5,2.9000000000000004,0.8356437683105469,5.0
0.5,3.0,0.8356437683105469,5.0
0.5,3.1,0.8356437683105469,5.0
0.5,3.2,0.8356437683105469,5.0
0.5,3.3000000000000003,0.8356437683105469,5.0
0.5,3.4000000000000004,0.8356437683105469,5.0
0.5,3.5,0.8520088195800781,7.0
0.5,3.6,0.8520088195800781,7.0
0.5,3.7,0.8520088195800781,7.0
0.5,3.8000000000000003,0.8520088195800781,7.0
0.5,3.9000000000000004,0.8520088195800781,7.0
0.5,4.0,0.8520088195800781,7.0
0.5,4.1000000000000005,0.8520088195800781,7.0
0.5,4.2,0.8520088195800781,7.0
0.5,4.3,0.8520088195800781,7.0
0.5,4.4,0.8520088195800781,7.0
0.5,4.5,0.8674297332763672,9.0
0.5,4.6000000000000005,0.8674297332763672,9.0
0.5,4.7,0.8674297332763672,9.0
0.5,4.800000000000001,0.8674297332763672,9.0
0.5,4.9,0.8674297332763672,9.0
0.5,5.0,0.8674297332763672,9.0
0.5,5.1000000000000005,0.8674297332763672,9.0
0.5,5.2,0.8674297332763672,9.0
0.5,5.300000000000001,0.8674297332763672,9.0
0.5,5.4,0.8674297332763672,9.0
0.5,5.5,0.8825702667236328,11.0
0.5,5.6000000000000005,0.8825702667236328,11.0
0.5,5.7,0.8825702667236328,11.0
0.5,5.800000000000001,0.8825702667236328,11.0
0.5,5.9,0.8825702667236328,11.0
0.5,6.0,0.8825702667236328,11.0
0.5,6.1000000000000005,0.8825702667236328,11.0
0.5,6.2,0.8825702667236328,11.0
0.5,6.300000000000001,0.8825702667236328,11.0
0.5,6.4,0.8825702667236328,11.0
0.5,6.5,0.8979911804199219,13.0
0.5,6.6000000000000005,0.8979911804199219,13.0
0.5,6.7,0.8979911804199219,13.0
0.5,6.800000000000001,0.8979911804199219,13.0
0.5,6.9,0.8979911804199219,13.0
0.5,7.0,0.8979911804199219,13.0
0.5,7.1000000000000005,0.8979911804199219,13.0
0.5,7.2,0.8979911804199219,13.0
0.5,7.300000000000001,0.8979911804199219,13.0
0.5,7.4,0.8979911804199219,13.0
0.5,7.5,0.9143562316894531,15.0
0.5,7.6000000000000005,0.9143562316894531,15.0
0.5,7.7,0.9143562316894531,15.0
0.5,7.800000000000001,0.9143562316894531,15.0
0.5,7.9,0.9143562316894531,15.0
0.5,8.0,0.9143562316894531,15.0
0.5,8.1,0.9143562316894531,15.0
0.5,8.200000000000001,0.9143562316894531,15.0
0.5,8.3,0.9143562316894531,15.0
0.5,8.4,0.9143562316894531,15.0
0.5,8.5,0.9327669143676758,17.0
0.5,8.6,0.9327669143676758,17.0
0.5,8.700000000000001,0.9327669143676758,17.0
0.5,8.8,0.9327669143676758,17.0
0.5,8.9,0.9327669143676758,17.0
0.5,9.0,0.9327669143676758,17.0
0.5,9.1,0.9327669143676758,17.0
0.5,9.200000000000001,0.9327669143676758,17.0
0.5,9.3,0.9327669143676758,17.0
0.5,9.4,0.9327669143676758,17.0
0.5,9.5,0.9559507369995117,19.0
0.5,9.600000000000001,0.9559507369995117,19.0
0.5,9.700000000000001,0.9559507369995117,19.0
0.5,9.8,0.9559507369995117,19.0
0.5,9.9,0.9559507369995117,19.0
0.5,10.0,0.9559507369995117,19.0
0.5,10.100000000000001,0.9559507369995117,19.0
0.5,10.200000000000001,0.9559507369995117,19.0
0.5,10.3,0.9559507369995117,19.0
0.5,10.4,0.9559507369995117,19.0
0.5,10.5,1.0,21.0
0.5,10.600000000000001,1.0,21.0
0.5,10.700000000000001,1.0,21.0
0.5,10.8,1.0,21.0
0.5,10.9,1.0,21.0
0.5,11.0,1.0,21.0
0.5,11.100000000000001,1.0,21.0
0.5,11.200000000000001,1.0,21.0
0.5,11.3,1.0,21.0
0.5,11.4,1.0,21.0
0.5,11.5,1.0,21.0
0.5,11.600000000000001,1.0,21.0
0.5,11.700000000000001,1.0,21.0
0.5,11.8,1.0,21.0
0.5,11.9,1.0,21.0
0.5,12.0,1.0,21.0
0.5,12.100000000000001,1.0,21.0
0.5,12.200000000000001,1.0,21.0
0.5,12.3,1.0,21.0
0.5,12.4,1.0,21.0
0.5,12.5,1.0,21.0
0.5,12.600000000000001,1.0,21.0
0.5,12.700000000000001,1.0,21.0
0.5,12.8,1.0,21.0
0.5,12.9,1.0,21.0
0.5,13.0,1.0,21.0
0.5,13.100000000000001,1.0,21.0
0.5,13.200000000000001,1.0,21.0
0.5,13.3,1.0,21.0
0.5,13.4,1.0,21.0
0.5,13.5,1.0,21.0
0.5,13.600000000000001,1.0,21.0
0.5,13.700000000000001,1.0,21.0
0.5,13.8,1.0,21.0
0.5,13.9,1.0,21.0
0.5,14.0,1.0,21.0
0.5,14.100000000000001,1.0,21.0
0.5,14.200000000000001,1.0,21.0
0.5,14.3,1.0,21.0
0.5,14.4,1.0,21.0
0.5,14.5,1.0,21.0
0.5,14.600000000000001,1.0,21.0
0.5,14.700000000000001,1.0,21.0
0.5,14.8,1.0,21.0
0.5,14.9,1.0,21.0
0.5,15.0,1.0,21.0
0.5,15.100000000000001,1.0,21.0
0.5,15.200000000000001,1.0,21.0
0.5,15.3,1.0,21.0
0.5,15.4,1.0,21.0
0.5,15.5,1.0,21.0
0.5,15.600000000000001,1.0,21.0
0.5,15.700000000000001,1.0,21.0
0.5,15.8,1.0,21.0
0.5,15.9,1.0,21.0
0.5,16.0,1.0,21.0
0.5,16.1,1.0,21.0
0.5,16.2,1.0,21.0
0.5,16.3,1.0,21.0
0.5,16.400000000000002,1.0,21.0
0.5,16.5,1.0,21.0
0.5,16.6,1.0,21.0
0.5,16.7,1.0,21.0
0.5,16.8,1.0,21.0
0.5,16.900000000000002,1.0,21.0
0.5,17.0,1.0,21.0
0.5,17.1,1.0,21.0
0.5,17.2,1.0,21.0
0.5,17.3,1.0,21.0
0.5,17.400000000000002,1.0,21.0
0.5,17.5,1.0,21.0
0.5,17.6,1.0,21.0
0.5,17.7,1.0,21.0
0.5,17.8,1.0,21.0
0.5,17.900000000000002,1.0,21.0
0.5,18.0,1.0,21.0
0.5,18.1,1.0,21.0
0.5,18.2,1.0,21.0
0.5,18.3,1.0,21.0
0.5,18.400000000000002,1.0,21.0
0.5,18.5,1.0,21.0
0.5,18.6,1.0,21.0
0.5,18.7,1.0,21.0
0.5,18.8,1.0,21.0
0.5,18.900000000000002,1.0,21.0
