peak_budget,workload_budget,reward,p_hard,queries
0.0,0.0,0.65,0.0,0.0
0.0,1.0,0.65,0.0,0.0
0.0,2.0,0.65,0.0,0.0
0.0,3.0,0.65,0.0,0.0
0.0,4.0,0.65,0.0,0.0
0.0,5.0,0.65,0.0,0.0
0.0,6.0,0.65,0.0,0.0
0.0,7.0,0.65,0.0,0.0
0.0,8.0,0.65,0.0,0.0
0.0,9.0,0.65,0.0,0.0
0.0,10.0,0.65,0.0,0.0
0.0,11.0,0.65,0.0,0.0
0.0,12.0,0.65,0.0,0.0
0.0,13.0,0.65,0.0,0.0
0.0,14.0,0.65,0.0,0.0
0.0,15.0,0.65,0.0,0.0
0.0,16.0,0.65,0.0,0.0
0.0,17.0,0.65,0.0,0.0
0.0,18.0,0.65,0.0,0.0
0.0,19.0,0.65,0.0,0.0
0.0,20.0,0.65,0.0,0.0
0.0,21.0,0.65,0.0,0.0
1.0,0.0,0.65,0.0,0.0
1.0,1.0,0.65,0.0,0.0
1.0,2.0,0.65,0.0,0.0
1.0,3.0,0.65,0.0,0.0
1.0,4.0,0.65,0.0,0.0
1.0,5.0,0.65,0.0,0.0
1.0,6.0,0.65,0.0,0.0
1.0,7.0,0.65,0.0,0.0
1.0,8.0,0.65,0.0,0.0
1.0,9.0,0.65,0.0,0.0
1.0,10.0,0.65,0.0,0.0
1.0,11.0,0.65,0.0,0.0
1.0,12.0,0.65,0.0,0.0
1.0,13.0,0.65,0.0,0.0
1.0,14.0,0.65,0.0,0.0
1.0,15.0,0.65,0.0,0.0
1.0,16.0,0.65,0.0,0.0
1.0,17.0,0.65,0.0,0.0
1.0,18.0,0.65,0.0,0.0
1.0,19.0,0.65,0.0,0.0
1.0,20.0,0.65,0.0,0.0
1.0,21.0,0.65,0.0,0.0
2.0,0.0,0.65,0.0,0.0
2.0,1.0,0.65,0.0,0.0
2.0,2.0,0.65,0.0,0.0
2.0,3.0,0.65,0.0,0.0
2.0,4.0,0.65,0.0,0.0
2.0,5.0,0.65,0.0,0.0
2.0,6.0,0.65,0.0,0.0
2.0,7.0,0.65,0.0,0.0
2.0,8.0,0.65,0.0,0.0
2.0,9.0,0.65,0.0,0.0
2.0,10.0,0.65,0.0,0.0
2.0,11.0,0.65,0.0,0.0
2.0,12.0,0.65,0.0,0.0
2.0,13.0,0.65,0.0,0.0
2.0,14.0,0.65,0.0,0.0
2.0,15.0,0.65,0.0,0.0
2.0,16.0,0.65,0.0,0.0
2.0,17.0,0.65,0.0,0.0
2.0,18.0,0.65,0.0,0.0
2.0,19.0,0.65,0.0,0.0
2.0,20.0,0.65,0.0,0.0
2.0,21.0,0.65,0.0,0.0
3.0,0.0,0.65,0.0,0.0
3.0,1.0,0.65,0.0,0.0
3.0,2.0,0.65,0.0,0.0
3.0,3.0,0.65,0.0,0.0
3.0,4.0,0.65,0.0,0.0
3.0,5.0,0.65,0.0,0.0
3.0,6.0,0.65,0.0,0.0
3.0,7.0,0.65,0.0,0.0
3.0,8.0,0.65,0.0,0.0
3.0,9.0,0.65,0.0,0.0
3.0,10.0,0.65,0.0,0.0
3.0,11.0,0.65,0.0,0.0
3.0,12.0,0.65,0.0,0.0
3.0,13.0,0.65,0.0,0.0
3.0,14.0,0.65,0.0,0.0
3.0,15.0,0.65,0.0,0.0
3.0,16.0,0.65,0.0,0.0
3.0,17.0,0.65,0.0,0.0
3.0,18.0,0.65,0.0,0.0
3.0,19.0,0.65,0.0,0.0
3.0,20.0,0.65,0.0,0.0
3.0,21.0,0.65,0.0,0.0
4.0,0.0,0.65,0.0,0.0
4.0,1.0,0.65,0.0,0.0
4.0,2.0,0.65,0.0,0.0
4.0,3.0,0.65,0.0,0.0
4.0,4.0,0.65,0.0,0.0
4.0,5.0,0.65,0.0,0.0
4.0,6.0,0.65,0.0,0.0
4.0,7.0,0.65,0.0,0.0
4.0,8.0,0.65,0.0,0.0
4.0,9.0,0.65,0.0,0.0
4.0,10.0,0.65,0.0,0.0
4.0,11.0,0.65,0.0,0.0
4.0,12.0,0.65,0.0,0.0
4.0,13.0,0.65,0.0,0.0
4.0,14.0,0.65,0.0,0.0
4.0,15.0,0.65,0.0,0.0
4.0,16.0,0.65,0.0,0.0
4.0,17.0,0.65,0.0,0.0
4.0,18.0,0.65,0.0,0.0
4.0,19.0,0.65,0.0,0.0
4.0,20.0,0.65,0.0,0.0
4.0,21.0,0.65,0.0,0.0
5.0,0.0,0.65,0.0,0.0
5.0,1.0,0.6542575073242187,0.2,5.0
5.0,2.0,0.6585150146484375,0.4,5.0
5.0,3.0,0.6627725219726562,0.6,5.0
5.0,4.0,0.667030029296875,0.8,5.0
5.0,5.0,0.6712875366210938,1.0,5.0
5.0,6.0,0.6712875366210938,1.0,5.0
5.0,7.0,0.6712875366210938,1.0,5.0
5.0,8.0,0.6712875366210938,1.0,5.0
5.0,9.0,0.6712875366210938,1.0,5.0
5.0,10.0,0.6712875366210938,1.0,5.0
5.0,11.0,0.6712875366210938,1.0,5.0
5.0,12.0,0.6712875366210938,1.0,5.0
5.0,13.0,0.6712875366210938,1.0,5.0
5.0,14.0,0.6712875366210938,1.0,5.0
5.0,15.0,0.6712875366210938,1.0,5.0
5.0,16.0,0.6712875366210938,1.0,5.0
5.0,17.0,0.6712875366210938,1.0,5.0
5.0,18.0,0.6712875366210938,1.0,5.0
5.0,19.0,0.6712875366210938,1.0,5.0
5.0,20.0,0.6712875366210938,1.0,5.0
5.0,21.0,0.6712875366210938,1.0,5.0
6.0,0.0,0.65,0.0,0.0
6.0,1.0,0.6542575073242187,0.2,5.0
6.0,2.0,0.6585150146484375,0.4,5.0
